"Title","Date Created","Latitude","Longitude","Northing","Easting","Description","Elevation"
"A","2024-10-25T11:08:13+02:00",47.9941188015715,7.85881142279583,0,0,5,"370.502761"
"B","2024-10-25T11:14:30+02:00",47.9942461002976,7.85926409387133,0,0,6,"383.791578"
"C","2024-10-25T11:14:52+02:00",47.9941917647352,7.85915984176663,0,0,7,"380.889356"
"D","2024-10-25T11:15:05+02:00",47.9941401786586,7.85920359545908,0,0,6,"381.212844"
"E","2024-10-25T11:15:25+02:00",47.9941200049426,7.85923467816591,0,0,7,"381.420026"
"F","2024-10-25T11:18:31+02:00",47.9938662553795,7.86004548781087,0,0,8,"380.368798"
"G","2024-10-25T11:27:45+02:00",47.9948373771459,7.86214694994525,0,0,3,"429.343044"
"H","2024-10-25T11:33:52+02:00",47.9950353223813,7.86195051778851,0,0,0,"430.344558"
"I","2024-10-25T11:49:14+02:00",47.9953538513785,7.86412259762075,0,0,4,"433.484525"
"J","2024-10-25T11:49:44+02:00",47.9955819618095,7.86407721244881,0,0,5,"436.779261"
"K","2024-10-25T11:56:12+02:00",47.9974076550007,7.86734985006969,0,0,6,"465.846028"
"L","2024-10-25T12:00:23+02:00",47.9971066147647,7.86616643076419,0,0,8,"452.707523"
"M","2024-10-25T12:02:57+02:00",47.9965355414724,7.86575563584964,0,0,4,"452.442540"
"N","2024-10-25T12:07:29+02:00",47.9973777485592,7.86587057927328,0,0,7,"436.369445"
"O","2024-10-25T12:09:41+02:00",47.9968660584295,7.86503724600639,0,0,6,"420.937746"
"P","2024-10-25T12:22:36+02:00",47.9950408089434,7.85958138419886,0,0,9,"377.595332"
"Q","2024-10-25T12:28:35+02:00",47.9942323128888,7.85791360459966,0,0,4,"348.884109"
